cnpj,municipio
05105127000199,ABAETETUBA
83211375000128,ABEL FIGUEIREDO
05196548000172,ACARA
05119854000105,AFUA
34671057000134,AGUA AZUL DO NORTE
04838793000173,ALENQUER
05139464000105,ALMEIRIM
05263116000137,ALTAMIRA
05849955000131,ANAJAS
01613194000163,ANAPU
04873600000115,AUGUSTO CORREA
83267989000121,AURORA DO PARA
04542916000124,AVEIRO
04876538000115,BAGRE
05425871000170,BAIAO
01595320000102,BANNACH
05058458000115,BARCARENA
01614112000103,BELTERRA
05058466000161,BENEVIDES
22938757000163,BOM JESUS DO TOCANTINS
05149083000107,BONITO
04873592000107,BRAGANCA
34887950000100,BRASIL NOVO
22938773000156,BREJO GRANDE DO ARAGUAIA
34626440000170,BREU BRANCO
04876389000194,BREVES
05196563000110,BUJARU
04884482000140,CACHOEIRA DO ARARI
01612360000107,CACHOEIRA DO PIRIA
05105283000150,CAMETA
01613321000124,CANAA DOS CARAJAS
05149091000145,CAPANEMA
05149109000109,CAPITAO POCO
05121991000184,CASTANHAL
04888111000137,CHAVES
05835939000190,COLARES
05070404000175,CONCEICAO DO ARAGUAIA
14145791000152,CONCORDIA DO PARA
34670976000193,CUMARU DO NORTE
04876710000130,CURRALINHO
01613319000155,CURUA
05171939000132,CURUCA
22953681000145,DOM ELISEU
84139633000175,ELDORADO DO CARAJAS
05178272000108,FARO
01613338000181,FLORESTA DO ARAGUAIA
22980940000127,GARRAFAO DO NORTE
83211433000113,GOIANESIA DO PARA
04876397000130,GURUPA
05149117000155,IGARAPE-ACU
05191333000169,IGARAPE-MIRI
83268011000184,IPIXUNA DO PARA
05193123000100,IRITUIA
05138730000177,ITAITUBA
05077102000129,ITUPIRANGA
10221745000134,JACAREACANGA
05854633000180,JACUNDA
05257555000137,JURUTI
05105168000185,LIMOEIRO DO AJURU
05363023000184,MAE DO RIO
05171947000189,MAGALHAES BARATA
05853163000130,MARABA
04880258000180,MARACANA
05171681000174,MARAPANIM
01611666000149,MARITUBA
34593525000108,MEDICILANDIA
05846704000101,MOCAJUBA
05105135000135,MOJU
17349848000123,MOJUI DOS CAMPOS
05105200000122,MUANA
84263862000105,NOVA ESPERANCA DO PIRIA
01612215000126,NOVA IPIXUNA
05149125000100,NOVA TIMBOTEUA
10221786000120,NOVO PROGRESSO
34626416000131,NOVO REPARTIMENTO
05131180000164,OBIDOS
04876413000195,OEIRAS DO PARA
05131081000182,ORIXIMINA
05149133000148,OUREM
22980643000181,OURILANDIA DO NORTE
22981427000150,PACAJA
83211417000120,PALESTINA DO PARA
34671016000148,PAU DARCO
05149158000141,PEIXE BOI
01612163000198,PICARRA
01611858000155,PLACAS
05132436000158,PONTA DE PEDRAS
04876447000180,PORTEL
05183827000100,PORTO DE MOZ
04860854000107,PRAINHA
05149141000194,PRIMAVERA
01612367000129,QUATIPURU
04144168000121,REDENCAO
04144176000178,RIO MARIA
04780953000170,RONDON DO PARA
10222297000193,RUROPOLIS
05149166000198,SALINOPOLIS
83334698000109,SANTA BARBARA DO PARA
04888830000158,SANTA CRUZ DO ARARI
05171699000176,SANTA IZABEL DO PARA
63887848000102,SANTA LUZIA DO PARA
10249381000109,SANTA MARIA DAS BARREIRAS
05149174000134,SANTA MARIA DO PARA
05832977000199,SANTANA DO ARAGUAIA
05182233000176,SANTAREM
05149182000180,SANTAREM NOVO
05059936000101,SANTO ANTONIO DO TAUA
05351614000131,SAO CAETANO DE ODIVELAS
83211391000110,SAO DOMINGOS DO ARAGUAIA
05193115000163,SAO DOMINGOS DO CAPIM
05421300000168,SAO FELIX DO XINGU
05125992000105,SAO FRANCISCO DO PARA
10249241000122,SAO GERALDO DO ARAGUAIA
01613320000180,SAO JOAO DA PONTA
22981153000108,SAO JOAO DE PIRABAS
05854534000107,SAO JOAO DO ARAGUAIA
05193073000160,SAO MIGUEL DO GUAMA
05105143000181,SAO SEBASTIAO DA BOA VISTA
01617317000134,SAPUCAIA
05421110000140,SENADOR JOSE PORFIRIO
05133863000150,SOURE
22941355000118,TAILANDIA
34823518000147,TERRA ALTA
23060866000193,TERRA SANTA
05196530000170,TOME ACU
01612999000192,TRACUATEUA
10221760000182,TRAIRAO
22981088000102,TUCUMA
05251632000141,TUCURUI
83334672000160,ULIANOPOLIS
34593541000192,URUARA
05351606000195,VIGIA DE NAZARE
04873618000117,VISEU
34887935000153,VITORIA DO XINGU
04144150000120,XINGUARA
